model,regressor__model__alpha,cv_r2_mean,cv_mae_mean,cv_rmse_mean,val_r2,val_mae,val_rmse,search_family,regressor__model__max_depth,regressor__model__min_samples_leaf,regressor__model__n_estimators,regressor__model__learning_rate,regressor__model__max_iter,regressor__model__max_leaf_nodes
HistGradientBoosting (Tuned),,0.8813886114639988,77657.01956439753,175289.63290161913,0.927420847319347,72200.76954650214,138135.63117690018,hist_gradient_boosting,,,,0.1,250.0,63.0
HistGradientBoosting (Tuned),,0.8848816127340973,76536.8682799205,173445.07335782264,0.9263217090816429,72906.9616295881,139177.663439174,hist_gradient_boosting,,,,0.05,250.0,63.0
HistGradientBoosting (Tuned),,0.886463253135949,76044.61449982149,169995.98901670924,0.926160562849322,72899.62984037245,139329.78223709937,hist_gradient_boosting,,,,0.05,400.0,31.0
HistGradientBoosting (Tuned),,0.8821046619540345,77103.21207594345,174204.9661174146,0.9260622849863125,73250.57102295733,139422.47308473696,hist_gradient_boosting,,,,0.03,400.0,31.0
HistGradientBoosting (Tuned),,0.8801494820577169,78607.91211781444,176140.26691705355,0.9260417645623451,73301.20346015778,139441.81916391084,hist_gradient_boosting,,,,0.1,400.0,63.0
HistGradientBoosting (Tuned),,0.8868147006700344,76363.8597703117,171736.8812290781,0.9259573901232269,73466.41739560828,139521.33682370387,hist_gradient_boosting,,,,0.03,400.0,63.0
HistGradientBoosting (Tuned),,0.8863700283513822,76513.14227125648,171684.44408277702,0.9256256524336357,73147.94472584811,139833.54056020477,hist_gradient_boosting,,,,0.05,400.0,63.0
HistGradientBoosting (Tuned),,0.8842307592491148,76819.84821776583,171627.75749164764,0.9251396696073575,73615.52347284836,140289.65244998154,hist_gradient_boosting,,,,0.1,250.0,31.0
HistGradientBoosting (Tuned),,0.8823449533134224,77145.86268861711,174078.6340965664,0.924881038871664,73496.25901916044,140531.7829057345,hist_gradient_boosting,,,,0.05,250.0,31.0
HistGradientBoosting (Tuned),,0.8794196299369389,76921.13323263926,175284.10866152722,0.9245481994287883,72868.38294242349,140842.77510793103,hist_gradient_boosting,,,,0.1,400.0,15.0
HistGradientBoosting (Tuned),,0.882946034288578,77132.31811540322,171956.1896449048,0.924309900083482,73616.32410496575,141065.01157093229,hist_gradient_boosting,,,,0.1,400.0,31.0
HistGradientBoosting (Tuned),,0.8777114465215534,77745.61590791936,177371.16097339682,0.9241899746950336,73904.73099825422,141176.72090006917,hist_gradient_boosting,,,,0.1,250.0,15.0
HistGradientBoosting (Tuned),,0.8825370320937148,77315.6883475424,175794.98854453443,0.9225550830978194,74346.24665999843,142690.88403156013,hist_gradient_boosting,,,,0.03,250.0,63.0
HistGradientBoosting (Tuned),,0.8738216022790173,78222.10608247884,179990.11502584151,0.9202803849759685,74103.94680744952,144771.2638966689,hist_gradient_boosting,,,,0.05,400.0,15.0
HistGradientBoosting (Tuned),,0.8772921419808457,78735.3832815511,179047.09446564346,0.9198417193421238,75076.22884105566,145169.0270782132,hist_gradient_boosting,,,,0.03,250.0,31.0
Extra Trees (Tuned),,0.8948172908393832,78304.86987585368,165943.86890072818,0.9194068956216741,76839.16748486907,145562.2338918213,extra_trees,20.0,1.0,300.0,,,
Extra Trees (Tuned),,0.8942612582327361,78378.11126761283,166477.82266452795,0.9193981584233627,76839.69506155592,145570.12396905766,extra_trees,20.0,1.0,500.0,,,
HistGradientBoosting (Tuned),,0.8666073563066872,80150.42400725637,186412.31828881887,0.9179669379622175,75513.51265027934,146856.8575465907,hist_gradient_boosting,,,,0.03,400.0,15.0
HistGradientBoosting (Tuned),,0.8686917355829348,80071.46391387776,184850.92300329977,0.916368807123808,75635.49901796912,148280.45679504718,hist_gradient_boosting,,,,0.05,250.0,15.0
Extra Trees (Tuned),,0.8946703622190084,78897.83134768475,166418.46394191452,0.9160508745463793,77946.28897645128,148562.04113120242,extra_trees,,1.0,300.0,,,
Extra Trees (Tuned),,0.894746435988198,78870.15062990095,166300.85864128562,0.9159783133023746,78101.12860661246,148626.2319019822,extra_trees,,1.0,500.0,,,
Extra Trees (Tuned),,0.8951727892444715,78846.0060427383,165917.1736940977,0.9152734375299554,78081.72435007268,149248.35835010573,extra_trees,30.0,1.0,300.0,,,
Extra Trees (Tuned),,0.8948961608495549,78860.43270684783,166179.53873557522,0.9152519389651048,78266.4753194795,149267.29232962473,extra_trees,30.0,1.0,500.0,,,
Extra Trees (Tuned),,0.8945761251306678,76569.01757853109,165074.26296052756,0.914194870092272,76996.80748849637,150195.31848607975,extra_trees,20.0,2.0,500.0,,,
Extra Trees (Tuned),,0.893743574424611,76665.58540730733,165539.6830417631,0.9140959470350701,76843.45554780266,150281.87217030398,extra_trees,20.0,2.0,300.0,,,
Extra Trees (Tuned),,0.8937487657942829,76706.65930567242,165942.47809568624,0.913874817515689,76785.62686491788,150475.17154708187,extra_trees,,2.0,300.0,,,
Extra Trees (Tuned),,0.8938068572596777,76688.17711957493,165879.3283899087,0.9138392342858396,76819.38192419312,150506.25327906926,extra_trees,30.0,2.0,300.0,,,
Extra Trees (Tuned),,0.8938635656712094,76724.41261009376,165901.01642611274,0.9127890963606357,77046.17586453195,151420.66975193634,extra_trees,,2.0,500.0,,,
Extra Trees (Tuned),,0.893886319146034,76714.486923439,165876.99232281413,0.912407382346087,77114.4979188832,151751.68503626087,extra_trees,30.0,2.0,500.0,,,
Extra Trees (Tuned),,0.8759493192968411,78725.23462845579,181067.52790592695,0.9098000561019416,77316.85637804642,153993.68205218026,extra_trees,30.0,4.0,300.0,,,
Extra Trees (Tuned),,0.8759493192968411,78725.23462845583,181067.52790592695,0.9098000561019415,77316.85637804637,153993.6820521804,extra_trees,,4.0,300.0,,,
Extra Trees (Tuned),,0.8762885745365587,78696.46859733143,180828.11728578,0.90886558212789,77573.32373137883,154789.31611833518,extra_trees,,4.0,500.0,,,
Extra Trees (Tuned),,0.8762885745365585,78696.46859733148,180828.11728578014,0.9088655821278899,77573.32373137878,154789.3161183353,extra_trees,30.0,4.0,500.0,,,
HistGradientBoosting (Tuned),,0.859620551573396,82733.18963269412,192669.13381840198,0.9087854722596164,78118.91757820475,154857.33338439785,hist_gradient_boosting,,,,0.03,250.0,15.0
Extra Trees (Tuned),,0.8768202438271434,78717.30159310074,180459.84977528272,0.9080035647270216,77691.59531111321,155519.64966199422,extra_trees,20.0,4.0,300.0,,,
Extra Trees (Tuned),,0.8768578354116737,78660.3977761578,180387.47918588464,0.9079983939984781,77760.63382891205,155524.02014977485,extra_trees,20.0,4.0,500.0,,,
Ridge Hybrid (Tuned),1.0,0.926024425988863,71131.44630764543,139413.9333960428,0.8903736710360177,76264.99131346778,169768.53663732563,ridge_hybrid,,,,,,
Ridge Hybrid (Tuned),2.0,0.9219364944810522,72319.85075804009,143802.4005085981,0.889696185946642,76996.26902010593,170292.30908580692,ridge_hybrid,,,,,,
Ridge Hybrid (Tuned),0.5,0.927397057956604,70748.74812408762,137393.93471753865,0.8889216084019466,76454.09614731604,170889.17803153433,ridge_hybrid,,,,,,
Ridge Hybrid (Tuned),4.0,0.9139419298125926,74642.88874193458,151476.53944987926,0.8875541417638965,78114.12989776445,171937.85376921736,ridge_hybrid,,,,,,
Ridge Hybrid (Tuned),0.25,0.9252355795974099,71374.16280736976,138931.29373427862,0.8860657374457699,77099.38851826859,173072.05181883136,ridge_hybrid,,,,,,
Ridge Hybrid (Tuned),8.0,0.902390402683839,77900.17059893617,161603.6295348638,0.8812875444070098,80278.35479266635,176663.94076688157,ridge_hybrid,,,,,,
